TRAINING DATASET	HUMAN ENTREZ	MOUSE ENTREZ	MAPPING	SYM	SYNONYMS	DESCRIPTION	TARGETP	YEASTMITOHOMOLOG	RICKETTSIA_BLASTP_EXPECT	MITODOMAIN	PGC_INDUCTION	COEXPRESSION_GNF_N50	PROTEOMICS	MAESTRO_SCORE	MITOCARTA_cFDR	MITOCARTA_LIST	MCARTA_TYPE	NUM_MSMS_TISSUES	CHOMOSOME	START	STOP	PFAM_DOMAINS
	134548	237761	HomoloGene	ANKRD43	-	ankyrin repeat domain 43	5			0	0	0		-4	64%	0			5	132177177	132180376	Ank
	5198	237823	HomoloGene	PFAS	FGAMS|FGARAT|KIAA0361|PURL	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	4			1	0	0	0-25ambig	4	12%	0		2	17	8093361	8114527	AIRS_C | AIRS
	146760	237847	HomoloGene	RTN4RL1	DKFZp547J144|NGRH2|NgR3	reticulon 4 receptor-like 1	0			-1	0			-10	90%	0			17	1784720	1874927	LRRNT | LRR_1
	286753	237858	HomoloGene	TUSC5	LOST1	tumor suppressor candidate 5	0			-2		0		-6	77%	0			17	1129706	1151030	CD225
	84081	237859	HomoloGene	CCDC55	DKFZP434K1421|FLJ37233|HSPC095	coiled-coil domain containing 55	0			-2	0	3		-7	85%	0			17	25467959	25537611	
	23098	237868	HomoloGene	SARM1	FLJ36296|KIAA0524|SAMD2|SARM	sterile alpha and TIR motif containing 1	5			-1	0	2		-9	87%	0			17	23723252	23752191	SAM_1 | SAM_2
	79915	237877	HomoloGene	C17orf41	FLJ12735|FRAG1	chromosome 17 open reading frame 41	0			-2	0	0		-7	85%	0			17	26183145	26246420	
	146857	237886	HomoloGene	SLFN13	DKFZp666J196|DKFZp686I026|FLJ31952|SLFN10	schlafen family member 13	0			-2	0	0		-7	85%	0			17	30786227	30799884	AAA_4
	342618	237890	HomoloGene	SLFN14	-	schlafen family member 14	0			-2		0		-6	77%	0			17	30899370	30909193	AAA_4
	55316	237926	HomoloGene	RSAD1	FLJ11164|FLJ20975	radical S-adenosyl methionine domain containing 1	3		1.20E-60	0	3	0		5	8%	1	computational_pred		17	45911188	45918334	HemN_C | Radical_SAM
	162466	237928	HomoloGene	PHOSPHO1	-	"phosphatase, orphan 1"	3			-2			25-50ambig	4	11%	0		1	17	44655730	44663126	Put_Phosphatase
	284076	237930	HomoloGene	TTLL6	FLJ35808|TTL.6	"tubulin tyrosine ligase-like family, member 6"	0			-2	0	0		-7	85%	0			17	44194600	44226684	
	728765	237934	HomoloGene	LOC728765	-	similar to type I hair keratin KA35	0			-1				-9	88%	0			17	161844	170343	Filament
	390792	237934	HomoloGene	KRT39	KA35	keratin 39	0			-1				-9	88%	0			17	36368194	36376669	Filament
	314	237940	HomoloGene	AOC2	DAO2|RAO	"amine oxidase, copper containing 2 (retina-specific)"	0			-1				-9	88%	0			17	38250134	38256249	Cu_amine_oxidN3 | Cu_amine_oxid | Cu_amine_oxidN2
	374819	237954	HomoloGene	LRRC37A3	FLJ34306|KIAA0563|MGC41826|MGC57168	"leucine rich repeat containing 37, member A3"	0			0			0-25ambig	-3	53%	0		3	17	60280949	60345364	LRR_1
	9884	237954	HomoloGene	LRRC37A	DKFZp686N1231|KIAA0563	leucine rich repeat containing 37A	0			0			0-25ambig	-3	53%	0		3	17	41728273	41770917	LRR_1
	162540	237958	HomoloGene	IMP5	SPPL2c	intramembrane protease 5	0			-1		0		-10	90%	0			17	41278052	41280106	Peptidase_A22B
	30850	237988	HomoloGene	CDR2L	HUMPPA	cerebellar degeneration-related protein 2-like	0			-2	4	0		-2	52%	0			17	70495321	70513482	
	339221	238011	HomoloGene	ENPP7	ALK-SMase|MGC50179	ectonucleotide pyrophosphatase/phosphodiesterase 7	0			-1		2		-10	90%	0			17	75319476	75330615	Phosphodiest
	79672	238024	HomoloGene	FN3KRP	FLJ12171	fructosamine-3-kinase-related protein	0			-2		1		-6	77%	0			17	78267894	78279148	APH | Fructosamin_kin
	80304	238037	HomoloGene	C2orf44	FLJ21945|PP384	chromosome 2 open reading frame 44	0			-2		0		-6	77%	0			2	24105746	24123726	
	9472	238161	HomoloGene	AKAP6	ADAP100|ADAP6|AKAP100|KIAA0311|PRKA6|mAKAP	A kinase (PRKA) anchor protein 6	0			-2	1		0-25ambig	-4	62%	0		2	14	31868273	32372017	
	145581	238205	HomoloGene	LRFN5	C14orf146|DKFZp686G0210|FLJ30803	leucine rich repeat and fibronectin type III domain containing 5	0			-1	0	0		-11	93%	0			14	41147089	41443498	I-set | fn3 | LRR_1 | ig
	140801	238217	HomoloGene	RPL10L	FLJ27353	ribosomal protein L10-like	0			-1	0	1		-11	93%	0			14	46189965	46190777	Ribosomal_L10e
	5926	238247	HomoloGene	ARID4A	RBBP1|RBP-1|RBP1	AT rich interactive domain 4A (RBP1-like)	0			-1	0	0	0-25pure	-5	73%	0		1	14	57835115	57909397	RBB1NT | ARID
	83851	238266	HomoloGene	SYT16	CHR14SYT|SYT14L|Strep14|syt14r|yt14r	synaptotagmin XVI	0			0	0	0		-6	82%	0			14	61532490	61637177	C2
	27133	238271	HomoloGene	KCNH5	EAG2|H-EAG2|Kv10.2	"potassium voltage-gated channel, subfamily H (eag-related), member 5"	5			-1	0	0	0-25ambig	-7	85%	0		2	14	62243697	62638336	Ion_trans_2 | Ion_trans | cNMP_binding
	91748	238317	HomoloGene	C14orf43	C14orf117|FLJ00335|LSR68|c14_5541	chromosome 14 open reading frame 43	0			-1	0	0		-11	93%	0			14	73251577	73296744	Myb_DNA-binding | ELM2
	161394	238333	HomoloGene	C14orf174	FAM15A|FLJ35963|MGC132494|MGC132496	chromosome 14 open reading frame 174	0			-1		1		-10	90%	0			14	76913514	76927339	SAM_1 | SAM_2
	123041	238384	HomoloGene	SLC24A4	FLJ38852|NCKX4|SLC24A2	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4"	0			-1	0	0		-11	93%	0			14	91858677	92032348	Na_Ca_ex
	55727	238386	HomoloGene	BTBD7	DKFZp686N0544|FUP1|MGC48310	BTB (POZ) domain containing 7	0			-1	0		0-25ambig	-8	86%	0		1	14	92773648	92869137	BTB
	346389	238455	HomoloGene	7A5	-	putative binding protein 7a5	0			0	0	0		-6	82%	0			7	20146775	20223537	SH3_2
	389763	238662	HomoloGene	FLJ46321	-	FLJ46321 protein	0			-2				-5	70%	0			9	83793506	83799985	
	79937	238680	HomoloGene	CNTNAP3	CASPR3|CNTNAP3A|RP11-138L21.1|RP11-290L7.1	contactin associated protein-like 3	0			-1				-9	88%	0			9	39062763	39278299	Laminin_G_2 | EGF | F5_F8_type_C | Laminin_G_1
	7594	238690	HomoloGene	ZNF43	ARK1|AURKA|AURORA2|BTAK|DKFZp686L1854|HTF6|KOX27|STK15|ZNF39L1	zinc finger protein 43	0			-1		0		-10	90%	0			19	21779591	21810809	DUF1610 | zf-C2H2 | KRAB
	285601	238725	HomoloGene	GPR150	PGR11	G protein-coupled receptor 150	0			-1	0	0		-11	93%	0			5	94981735	94983039	7tm_1
	153643	238726	HomoloGene	FAM81B	FLJ25333	"family with sequence similarity 81, member B"	0			-2		0		-6	77%	0			5	94752803	94811896	
	5144	238871	HomoloGene	PDE4D	DPDE3|HSPDE4D|PDE4DN2|STRK1	"phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)"	0			-1	0	0		-11	93%	0			5	58302467	58918031	PDEase_I
	202309	238875	HomoloGene	C5orf29	FLJ33641|MGC70478	chromosome 5 open reading frame 29	0			-2	0	0		-7	85%	0			5	57823086	57827941	
	166979	238896	HomoloGene	CDC20B	FLJ37927|G6VTS76519	cell division cycle 20 homolog B (S. cerevisiae)	0			0		0		-6	75%	0			5	54444579	54504759	WD40
	55753	239017	HomoloGene	OGDHL	-	oxoglutarate dehydrogenase-like	1	1	0	1		0	50-75pure	28	0%	1	proteomics	14	10	50612716	50640374	E1_dh | Transket_pyr
	58504	239027	HomoloGene	ARHGAP22	RhoGAP2	Rho GTPase activating protein 22	0			-1	0	1		-11	93%	0			10	49324084	49483143	PH | RhoGAP
	85446	239102	HomoloGene	ZFHX2	KIAA1762	zinc finger homeobox 2	5			-1	0	1		-9	87%	0			14	23059903	23065838	Homeobox | zf-C2H2
	53342	239114	HomoloGene	IL17D	IL-17D|IL-22|IL-27|IL27	interleukin 17D	5			-1	2	1		-6	77%	0			13	20175481	20195236	IL17
	338872	239126	HomoloGene	C1QTNF9	MGC48915	C1q and tumor necrosis factor related protein 9	0			-1	0	14		-6	77%	0			13	23781715	23794668	C1q | Collagen
	220107	239133	HomoloGene	DLEU7	FLJ44882|MGC138214	"deleted in lymphocytic leukemia, 7"	0			-2		1		-6	77%	0			13	50184037	50316075	
	10687	239157	HomoloGene	PNMA2	KIAA0883|MA2|MM2|RGAG2	paraneoplastic antigen MA2	0			-2	0	0		-7	85%	0			8	26418112	26427341	
	405754	239167	HomoloGene	HERV-FRD	FLJ41944|FLJ90611|GLLL6191|MGC87585|UNQ6191	HERV-FRD provirus ancestral Env polyprotein	0			-2		0		-6	77%	0			6	11210707	11219944	TLV_coat
	64760	239170	HomoloGene	RAI16	FLJ21801|MGC138352	retinoic acid induced 16	0			-2	0	1		-7	85%	0			8	22002659	22017835	
	84189	239250	HomoloGene	SLITRK6	MGC119595|MGC119596|MGC119597	"SLIT and NTRK-like family, member 6"	0			0		0	0-25ambig	-4	62%	0		3	13	85264922	85271483	LRR_1 | LRRCT
	10257	239273	HomoloGene	ABCC4	EST170205|MOAT-B|MOATB|MRP4	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	0		2.50E-19	0	0	2		-3	61%	0			13	94470089	94751683	ABC_tran | ABC_membrane
	84674	239319	HomoloGene	CARD6	CINCIN1	"caspase recruitment domain family, member 6"	0			0	2	0		-3	56%	0			5	40877166	40891212	CARD
	51289	239336	HomoloGene	RXFP3	GPCR135|MGC141998|MGC142000|RLN3R1|SALPR	relaxin/insulin-like family peptide receptor 3	0			-1	0	1		-11	93%	0			5	33972245	33974098	7tm_1
	203111	239368	HomoloGene	C8orf47	FLJ39553	chromosome 8 open reading frame 47	0			-2		0		-6	77%	0			8	99145925	99175013	
	29967	239393	HomoloGene	LRP12	DKFZp781F1053|FLJ12929|ST7	low density lipoprotein-related protein 12	0			-1	0	0		-11	93%	0			8	105570639	105670343	Ldl_recept_a | CUB
	340419	239405	HomoloGene	RSPO2	MGC35555|MGC43342	R-spondin 2 homolog (Xenopus laevis)	0			-2	0	0		-7	85%	0			8	108980720	109164741	
	157753	239408	HomoloGene	TMEM74	FLJ30668	transmembrane protein 74	0			-2		0		-6	77%	0			8	109864521	109868945	
	169026	239436	HomoloGene	SLC30A8	ZnT-8	"solute carrier family 30 (zinc transporter), member 8"	0			0		1		-6	75%	0			8	118216517	118258133	Cation_efflux
	84985	239463	HomoloGene	FAM83A	BJ-TSA-9|MGC14128	"family with sequence similarity 83, member A"	0			-2		0		-6	77%	0			8	124263932	124291498	DUF1669
	51105	239510	HomoloGene	PHF20L1	CGI-72|MGC64923	PHD finger protein 20-like 1	0			-1	0	0		-11	93%	0			8	133856785	133929284	PHD
	58500	239546	HomoloGene	ZNF250	MGC111123|MGC9718|ZFP647|ZNF647	zinc finger protein 250	0			-1				-9	88%	0			8	146077335	146097631	zf-C2H2 | KRAB
	80020	239554	HomoloGene	FOXRED2	FLJ23322|FLJ33734	FAD-dependent oxidoreductase domain containing 2	0		0.0000099	0	0	0		-3	61%	0			22	35214235	35233014	DAO
	8911	239556	HomoloGene	CACNA1I	Cav3.3	"calcium channel, voltage-dependent, alpha 1I subunit"	0			-1	0			-10	90%	0			22	38296703	38415685	Ion_trans
	53947	239559	HomoloGene	A4GALT	A14GALT|A4GALT1|P1|PK	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)"	0			-1	0	0		-11	93%	0			22	41418070	41446819	Gb3_synth | Gly_transf_sug
	164714	239591	HomoloGene	RP3-355C18.2	LOC164714	similar to RIKEN cDNA 1700019P01	0			-2	0	0		-7	85%	0			22	48795678	48835181	TTL
	29951	239618	MGI	PDZRN4	LNX4|SAMCAP3L	PDZ domain containing RING finger 4	0			-2	0			-6	76%	0			12	40117840	40254658	PDZ
	91523	239647	HomoloGene	FAM113B	MGC16044	"family with sequence similarity 113, member B"	0			-2		1		-6	77%	0			12	45896318	45916709	
	387856	239650	HomoloGene	LOC387856	-	similar to expressed sequence AI836003	0			-2	0	0		-7	85%	0			12	46863665	46865975	
	79091	239706	HomoloGene	C16orf68	FLJ12433|MGC2654	chromosome 16 open reading frame 68	0			-2	0			-6	76%	0			16	8623027	8647579	
	126328	239760	HomoloGene	NDUFA11	B14.7	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa"	0			-2			0-25pure	1	23%	0		14	19	5845685	5855024	
	647309	239789	HomoloGene	LOC647309	-	hypothetical LOC647309	0			-2		0		-6	77%	0			3	192055777	192063644	
	80235	239827	HomoloGene	PIGZ	FLJ12768|MGC52163|SMP3	"phosphatidylinositol glycan anchor biosynthesis, class Z"	0			-1	0	1		-11	93%	0			3	198157610	198180100	Glyco_transf_22
	89782	239833	HomoloGene	LMLN	Gp63|Msp	leishmanolysin-like (metallopeptidase M8 family)	0			-1		6		-7	82%	0			3	199171467	199249964	Peptidase_M8
	64770	239839	HomoloGene	CCDC14	DKFZp434L1050|FLJ12892|FLJ41065	coiled-coil domain containing 14	5			-2				-3	54%	0			3	125115256	125158619	
	131368	239852	HomoloGene	ZPLD1	-	zona pellucida-like domain containing 1	0			-1		0		-10	90%	0			3	103636548	103681374	Zona_pellucida
	643803	239932	HomoloGene	KRTAP24-1	-	keratin associated protein	0			-2	0			-6	76%	0			21	30576356	30577120	PMG
	168002	240025	HomoloGene	DACT2	C6orf116|DAPPER2|FLJ31232|MGC133141|MGC133142|RP11-503C24.7|bA503C24.7	"dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)"	2			-2	4			5	9%	1	computational_pred		6	168450432	168463250	
	10780	240034	HomoloGene	ZNF234	HZF4|ZNF269	zinc finger protein 234	0			-1	0			-10	90%	0			19	49337617	49354126	DUF1610 | zf-C2H2 | KRAB
	284370	240038	HomoloGene	ZNF615	DKFZp686O1554|FLJ33710|FLJ39372	zinc finger protein 615	0			-1	0			-10	90%	0			19	57186399	57203269	zf-C2H2 | KRAB
	64386	240047	HomoloGene	MMP25	MMP20|MMPL1|MT-MMP6|MT6-MMP	matrix metallopeptidase 25	0			-1		0		-10	90%	0			16	3036682	3050727	Hemopexin | PG_binding_1 | Peptidase_M10
	57699	240058	HomoloGene	CPNE5	COPN5|CPN5|DKFZp666C234|KIAA1599	copine V	0			0	0	0		-6	82%	0			6	36816532	36915197	Copine | C2
	9656	240087	HomoloGene	MDC1	DKFZp781A0122|KIAA0170|NFBD1	mediator of DNA damage checkpoint 1	0			-1	0			-10	90%	0			6	30775563	30793009	FHA
	84620	240119	HomoloGene	ST6GAL2	KIAA1877|SIAT2|ST6GalII	"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2"	0			-1		1		-10	90%	0			2	106789537	106869981	Glyco_transf_29
	339291	240131	HomoloGene	LRRC30	-	leucine rich repeat containing 30	0			0	0			-5	73%	0			18	7221136	7222041	LRR_1
	63892	240174	HomoloGene	THADA	FLJ21877|FLJ44016|FLJ44876|GITA|KIAA1767	thyroid adenoma associated	2			0	0	1	0-25ambig	2	17%	0		3	2	43311494	43676680	HEAT
	83697	240215	HomoloGene	SLC4A9	AE4	"solute carrier family 4, sodium bicarbonate cotransporter, member 9"	0			-1	0	3		-11	93%	0			5	139719978	139734770	HCO3_cotransp | Band_3_cyto
	134391	240239	HomoloGene	GPR151	GALR4|GALRL|GPCR|PGR7	G protein-coupled receptor 151	5			-1		0		-8	87%	0			5	145874609	145875868	7tm_1
	171019	240322	HomoloGene	ADAMTS19	FLJ16042	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"	0			-1		0		-10	90%	0			5	128824001	129102274	Reprolysin | TSP_1 | Pep_M12B_propep | ADAM_spacer1 | PLAC
	125336	240411	HomoloGene	LOXHD1	FLJ32670|LH2D1	lipoxygenase homology domains 1	0			-1		1		-10	90%	0			18	42343527	42435623	PLAT
	22850	240442	HomoloGene	ZNF508	KIAA0863	zinc finger protein 508	0			0	0	0		-6	82%	0			18	75967902	75999219	zf-C2H2
	26251	240444	HomoloGene	KCNG2	KCNF2|KV6.2	"potassium voltage-gated channel, subfamily G, member 2"	0			-1	0	2		-11	93%	0			18	75724655	75760803	Ion_trans_2 | Ion_trans | K_tetra
	55561	240505	HomoloGene	CDC42BPG	DMPK2|HSMDPKIN|KAPPA-200|MRCKgamma	CDC42 binding protein kinase gamma (DMPK-like)	0			-1	0	0		-11	93%	0			11	64348496	64368616	PH | DMPK_coil | C1_1 | CNH | Pkinase | Pkinase_C
	11007	240514	HomoloGene	CCDC85B	DIPA	coiled-coil domain containing 85B	0			-2	0			-6	76%	0			11	65414450	65415681	
	26953	240614	HomoloGene	RANBP6	-	RAN binding protein 6	0			0	0	0		-6	82%	0			9	6001018	6005617	HEAT
	9585	240641	HomoloGene	MPHOSPH1	DKFZp434B0435|DKFZp434P0810|KRMP1|MPP-1|MPP1	M-phase phosphoprotein 1	0		0.0004	0	0	0		-3	61%	0			10	91451346	91524679	Kinesin
	54619	240665	HomoloGene	CCNJ	bA690P14.1	cyclin J	0			-1	0	0		-11	93%	0			10	97793140	97810611	Cyclin_C | Cyclin_N
	9705	240690	HomoloGene	ST18	KIAA0535|ZNF387	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	0			-1	0	0		-11	93%	0			8	53185951	53484855	zf-C2HC | MYT1
	157777	240697	HomoloGene	C8orf45	FLJ25692	chromosome 8 open reading frame 45	0			-2	0			-6	76%	0			8	67948883	67976569	
	5287	240752	HomoloGene	PIK3C2B	C2-PI3K|DKFZp686G16234	"phosphoinositide-3-kinase, class 2, beta polypeptide"	0			-1				-9	88%	0			1	202658383	202726096	PX | PI3Ka | PI3K_rbd | PI3_PI4_kinase | PI3K_C2 | C2
	54900	240754	HomoloGene	LAX1	FLJ20340|LAX	lymphocyte transmembrane adaptor 1	0			-2	0	0		-7	85%	0			1	202000959	202012122	
	59349	240756	HomoloGene	KLHL12	C3IP1|DKIR|FLJ27152	kelch-like 12 (Drosophila)	0			-1	0	0		-11	93%	0			1	201126852	201162993	Kelch_2 | BTB | BACK | Kelch_1
	353299	240816	HomoloGene	RGSL1	-	regulator of G-protein signalling like 1	0			-2		1		-6	77%	0			1	180724040	180796354	
	127670	240819	HomoloGene	TEDDM1	Epdd1|HE9|RP1-223H12.2	transmembrane epididymal protein 1	0			-2		0		-6	77%	0			1	180634044	180636373	DUF716
	57795	240843	HomoloGene	FAM5B	BRINP2|DBCCR1L2|FLJ41342|KIAA1747|RP5-1026E2.1	"family with sequence similarity 5, member B"	0			-2	0	0		-7	85%	0			1	175407255	175518180	
	8995	240873	HomoloGene	TNFSF18	AITRL|GITRL|MGC138237|TL6|hGITRL	"tumor necrosis factor (ligand) superfamily, member 18"	0			-1				-9	88%	0			1	171277073	171286678	TNF
	149281	240879	HomoloGene	C1orf184	-	chromosome 1 open reading frame 184	4			-2		0		-3	56%	0			1	168381872	168403521	Methyltransf_11 | Methyltransf_12 | DUF858
	23432	240888	HomoloGene	GPR161	FLJ33952|RE2	G protein-coupled receptor 161	0			-1	0	0		-11	93%	0			1	166320620	166372247	7tm_1
	9507	240913	HomoloGene	ADAMTS4	ADAMTS-2|ADAMTS-4|ADMP-1|KIAA0688	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"	2			-1	0			-4	62%	0			1	159426161	159435467	TSP_1 | Reprolysin | Pep_M12B_propep | ADAM_spacer1
	391123	240916	HomoloGene	VSIG8	-	V-set and immunoglobulin domain containing 8	0			-1	0	0		-11	93%	0			1	158090729	158099070	ig | V-set
	5314	241035	HomoloGene	PKHD1	ARPKD|DKFZp686C01112|FCYT|FLJ46150|TIGM1	polycystic kidney and hepatic disease 1 (autosomal recessive)	0			-1	0	0		-11	93%	0			6	51588103	52060381	TIG
	80055	241062	HomoloGene	PGAP1	FLJ42774|ISPD3024	GPI deacylase	0			-1		0		-10	90%	0			2	197405972	197499698	PGAP1
	389072	241075	HomoloGene	LOC389072	FLJ41210	hypothetical protein LOC389072	0			-1	0	1		-11	93%	0			2	208401287	208574636	PH
	375307	241112	HomoloGene	MGC50811	-	hypothetical gene supported by BC052750	0			-2				-5	70%	0			2	218929822	218941060	
	53632	241113	HomoloGene	PRKAG3	AMPKG3	"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"	0			0				-4	65%	0			2	219395349	219404755	CBS
	55515	241118	HomoloGene	ACCN4	ASIC4|BNAC4|MGC17248|MGC24860	"amiloride-sensitive cation channel 4, pituitary"	0			-1		0		-10	90%	0			2	220087295	220111737	ASC
	57624	241134	HomoloGene	KIAA1486	-	KIAA1486 protein	0			-2				-5	70%	0			2	225973607	226226977	
	51281	241158	HomoloGene	ANKMY1	DKFZp686D20155|DKFZp686L21237|FLJ20499|ZMYND13	ankyrin repeat and MYND domain containing 1	0			-1		0	0-25ambig	-9	87%	0		3	2	241067511	241146077	MORN | Ank | zf-MYND
	57512	241263	HomoloGene	GPR158	FLJ37801|KIAA1136|RP11-59G22.1	G protein-coupled receptor 158	0			-1		0		-10	90%	0			10	25504295	25931163	7tm_3
	9858	241289	HomoloGene	KIAA0649	RP11-426A6.6	KIAA0649	0			-2	1			-6	76%	0			9	137511468	137520559	
	56262	241296	HomoloGene	LRRC8A	FLJ10337|KIAA1437|LRRC8	"leucine rich repeat containing 8 family, member A"	0			0	2	0		-3	56%	0			9	130684267	130720135	LRR_1
	403341	241311	HomoloGene	ZBTB34	FLJ22470|KIAA1993|MGC24652|RP11-106H5.1	zinc finger and BTB domain containing 34	0			-1				-9	88%	0			9	128662243	128687978	BTB | zf-C2H2
	11227	241391	HomoloGene	GALNT5	GALNAC-T5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	0			-1		0		-10	90%	0			2	157822585	157876158	Ricin_B_lectin | Glycos_transf_2
	129446	241431	HomoloGene	CMYA3	DKFZp451G055|FLJ39111|FLJ40200|XIRP2	cardiomyopathy associated 3	5			-1	1	1	0-25ambig	-7	85%	0		2	2	167700700	167816812	Actin_bind_SAA
	253782	241447	HomoloGene	LASS6	MGC129949|MGC129950	"LAG1 homolog, ceramide synthase 6 (S. cerevisiae)"	0			-1	0	0		-11	93%	0			2	169021080	169339397	Homeobox | LAG1
	50940	241489	HomoloGene	PDE11A	FLJ23693|MGC133355|MGC133356	phosphodiesterase 11A	0			-1				-9	88%	0			2	178201056	178645727	PDEase_I | GAF
	151126	241494	HomoloGene	ZNF533	FLJ25270	zinc finger protein 533	0			0	0	0		-6	82%	0			2	180014953	180434311	zf-C2H2
	91752	241514	HomoloGene	ZNF804A	C2orf10	zinc finger protein 804A	0			-2				-5	70%	0			2	185171337	185512458	
	165215	241520	HomoloGene	KIAA1946	FLJ34104	KIAA1946	0			-2	0			-6	76%	0			2	187267033	187336758	
	219539	241525	HomoloGene	YPEL4	FLJ30213|MGC102723|MGC138324	yippee-like 4 (Drosophila)	0			-1				-9	88%	0			11	57169136	57173992	Yippee
	90139	241556	HomoloGene	TSPAN18	TSPAN	tetraspanin 18	0			-1	0	0		-11	93%	0			11	44837627	44909462	Tetraspannin
	79968	241627	HomoloGene	WDR76	FLJ12973	WD repeat domain 76	0			0	0			-5	73%	0			15	41906499	41946501	WD40
	79895	241633	HomoloGene	ATP8B4	ATPIM	"ATPase, Class I, type 8B, member 4"	0			-1		0		-10	90%	0			15	47937726	48198710	
	9762	241638	HomoloGene	ProSAPiP1	KIAA0552	ProSAPiP1 protein	0			-2	0	1		-7	85%	0			20	3091272	3097206	Fez1
	9751	241727	HomoloGene	SNPH	KIAA0374|MGC46096|bA314N13.5	syntaphilin	2			-2	0	0	0-25pure	5	9%	1	proteomics	4	20	1194959	1237970	
	60598	241769	HomoloGene	KCNK15	KCNK11|KCNK14|KIAA0237|KT3.3|TASK-5|TASK5|dJ781B1.1	"potassium channel, subfamily K, member 15"	0			-1		2		-10	90%	0			20	42807901	42813081	Ion_trans_2
	149986	241846	HomoloGene	LSM14B	C20orf40|FAM61B|FLJ25473|FT005|LSM13|bA11M20.3	"LSM14 homolog B (SCD6, S. cerevisiae)"	0			-2	0	0		-7	85%	0			20	60131587	60142907	
	140701	241850	HomoloGene	C20orf135	MGC42974|dJ591C20.1	chromosome 20 open reading frame 135	0			-2	0	0	0-25ambig	-5	71%	0		1	20	61963009	61964784	
	347051	241877	HomoloGene	SLC10A5	P5	"solute carrier family 10 (sodium/bile acid cotransporter family), member 5"	0			-2				-5	70%	0			8	82768445	82769761	SBF
	166379	241950	HomoloGene	BBS12	C4orf24|FLJ35630|FLJ41559	Bardet-Biedl syndrome 12	0			-2	0			-6	76%	0			4	123873306	123885547	
	151742	242083	HomoloGene	PPM1L	MGC132545|MGC132547|PP2C-epsilon|PP2CE	protein phosphatase 1 (formerly 2C)-like	0			0	0	1		-6	82%	0			3	161956689	162271510	PP2C
	79679	242122	HomoloGene	VTCN1	B7-H4|B7H4|B7S1|B7X|B7h.5|FLJ22418|PRO1291|RP11-229A19.4|VCTN1	V-set domain containing T cell activation inhibitor 1	0			-1		1		-10	90%	0			1	117487736	117555069	ig | V-set
	126868	242125	HomoloGene	C1orf161	FLJ38716|RP5-1185H19.1	chromosome 1 open reading frame 161	0			-2	0	0		-7	85%	0			1	116455898	116479383	
	3744	242151	HomoloGene	KCNA10	Kcn1|Kv1.8	"potassium voltage-gated channel, shaker-related subfamily, member 10"	0			-1		0		-10	90%	0			1	110861361	110863319	Ion_trans_2 | Ion_trans | K_tetra
	345193	242235	HomoloGene	FLJ44691	MGC120618	FLJ44691 protein	0			-1		0		-10	90%	0			4	110991934	111012918	I-set | ig | V-set
	204962	242259	HomoloGene	SLC44A5	CTL5|FLJ34081|MGC34032	"solute carrier family 44, member 5"	0			-2		0		-6	77%	0			1	75444867	75849358	DUF580
	57554	242274	HomoloGene	LRRC7	DKFZp686I1147|KIAA1365	leucine rich repeat containing 7	0			0		0		-6	75%	0			1	69998445	70360513	PDZ | LRR_1
	54928	242291	HomoloGene	IMPAD1	FLJ20421|IMPA3	inositol monophosphatase domain containing 1	0		4.50E-12	-1	1		0-25ambig	-5	72%	0		4	8	58037818	58068956	Inositol_P
	245972	242341	HomoloGene	ATP6V0D2	ATP6D2|FLJ38708|VMA6	"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2"	0			-1	0	1		-11	93%	0			8	87180254	87235569	vATP-synt_AC39
	79694	242362	HomoloGene	MANEA	DKFZp686D20120|FLJ12838|hEndo	"mannosidase, endo-alpha"	0			-2	1	0		-7	85%	0			6	96132133	96164046	
	135293	242377	HomoloGene	ACY1L2	bA63L7.3	aminoacylase 1-like 2	0			-1				-9	88%	0			6	89912487	89932002	M20_dimer | Peptidase_M20
	9827	242406	HomoloGene	KIAA0258	-	KIAA0258	0			-2	0			-6	76%	0			9	35739202	35742870	Rgp1
	51754	242409	HomoloGene	C9orf127	MGC120460|NAG-5|NGX6|RP11-112J3.10	chromosome 9 open reading frame 127	0			-2		0		-6	77%	0			9	35819265	35837231	
	401546	242484	HomoloGene	C9orf152	MGC131682|bA470J20.2	chromosome 9 open reading frame 152	0			-2	0	0		-7	85%	0			9	112001661	112009734	
	158158	242505	HomoloGene	RASEF	FLJ31614|RAB45	RAS and EF-hand domain containing	0			0		0		-6	75%	0			9	84787134	84867862	Miro | Ras | efhand
